player_name,player_id,year,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,match_id,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
Diogo Jota,6854,2019,2,6,1.5547375679016113,78,FWL,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,369237,0,0,0,2,1.5547375679016113,1.6486444473266602,0.6552327275276184
Diogo Jota,6854,2019,0,2,0.12890461087226868,74,FWL,Wolverhampton Wanderers,West Ham,2,0,2019-12-04,11787,367646,0.13525930047035217,0,1,0,0.12890461087226868,0.09028347581624985,0
Diogo Jota,6854,2019,0,2,0.1491675078868866,90,FWL,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,366768,0,0,0,0,0.1491675078868866,0.1694866269826889,0.020319120958447456
Diogo Jota,6854,2019,0,1,0.15323540568351746,90,FWL,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,364680,0.15067896246910095,0,3,0,0.15323540568351746,0.3521401882171631,0.12399022281169891
Diogo Jota,6854,2019,0,5,0.7743205428123474,87,FWL,Wolverhampton Wanderers,Aston Villa,2,1,2019-11-10,11760,363887,0,0,0,0,0.7743205428123474,0.8886868357658386,0.11436627060174942
Diogo Jota,6854,2019,0,5,0.6863502860069275,90,FWL,Arsenal,Wolverhampton Wanderers,1,1,2019-11-02,11743,361493,0.2593647539615631,0,4,0,0.6863502860069275,0.9457150101661682,0
Diogo Jota,6854,2019,0,3,0.5381792187690735,72,FW,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,360164,0,0,0,0,0.5381792187690735,0.5589879155158997,0.10275240242481232
Diogo Jota,6854,2019,0,0,0,23,Sub,Wolverhampton Wanderers,Southampton,1,1,2019-10-19,11732,357875,0.03485802561044693,0,1,0,0,0.03485802561044693,0
Diogo Jota,6854,2019,1,4,0.6486644148826599,90,FWL,Crystal Palace,Wolverhampton Wanderers,1,1,2019-09-22,11697,353381,0.035524122416973114,0,1,1,0.6486644148826599,1.1749958992004395,0.5263314247131348
Diogo Jota,6854,2019,0,1,0.04021104797720909,90,FW,Wolverhampton Wanderers,Chelsea,2,5,2019-09-14,11688,349046,0,0,0,0,0.04021104797720909,0.1383552998304367,0.1383552998304367
